Building,"_time",Clients
Tabaret,"2022-02-09T00:00:00.000-0500",272
Marion,"2021-12-02T00:00:00.000-0500",271
CBY,"2021-11-26T00:00:00.000-0500",270
Diorio,"2022-01-24T00:00:00.000-0500",270
Marion,"2022-02-08T00:00:00.000-0500",270
MontPetit,"2022-01-31T00:00:00.000-0500",270
Vanier,"2022-02-08T00:00:00.000-0500",270
Fauteux,"2022-02-07T00:00:00.000-0500",269
STEM,"2022-01-25T00:00:00.000-0500",269
CBY,"2022-02-07T00:00:00.000-0500",268
Fauteux,"2022-02-02T00:00:00.000-0500",266
Fauteux,"2022-02-04T00:00:00.000-0500",266
Marion,"2022-02-04T00:00:00.000-0500",265
Fauteux,"2021-11-18T00:00:00.000-0500",264
MontPetit,"2021-11-22T00:00:00.000-0500",264
MontPetit,"2021-11-25T00:00:00.000-0500",264
SITE,"2021-12-07T00:00:00.000-0500",264
SPX,"2021-11-28T00:00:00.000-0500",263
Tabaret,"2021-11-24T00:00:00.000-0500",263
CBY,"2022-02-10T00:00:00.000-0500",262
DMS,"2021-11-26T00:00:00.000-0500",262
CBY,"2021-12-07T00:00:00.000-0500",260
FSS,"2022-01-25T00:00:00.000-0500",260
MontPetit,"2021-11-24T00:00:00.000-0500",260
STEM,"2021-12-13T00:00:00.000-0500",260
CBY,"2022-02-03T00:00:00.000-0500",259
CRX,"2022-01-22T00:00:00.000-0500",259
STEM,"2022-01-27T00:00:00.000-0500",259
CRX,"2022-01-13T00:00:00.000-0500",258
DMS,"2021-12-06T00:00:00.000-0500",258
SITE,"2021-11-29T00:00:00.000-0500",258
Tabaret,"2022-02-08T00:00:00.000-0500",258
UniCenter,"2021-12-11T00:00:00.000-0500",258
LPR,"2021-12-01T00:00:00.000-0500",257
FSS,"2022-01-27T00:00:00.000-0500",256
MontPetit,"2021-11-29T00:00:00.000-0500",256
MontPetit,"2022-02-11T00:00:00.000-0500",256
STEM,"2021-12-06T00:00:00.000-0500",256
MontPetit,"2021-12-08T00:00:00.000-0500",255
UniCenter,"2021-11-28T00:00:00.000-0500",254
Tabaret,"2021-11-17T00:00:00.000-0500",252
bioScience,"2022-01-27T00:00:00.000-0500",252
UniCenter,"2022-01-24T00:00:00.000-0500",251
bioScience,"2021-12-15T00:00:00.000-0500",251
Fauteux,"2021-12-06T00:00:00.000-0500",250
CBY,"2021-11-19T00:00:00.000-0500",249
STEM,"2021-12-14T00:00:00.000-0500",249
bioScience,"2022-02-02T00:00:00.000-0500",249
STEM,"2022-01-18T00:00:00.000-0500",248
Tabaret,"2021-11-22T00:00:00.000-0500",248
FSS,"2022-01-26T00:00:00.000-0500",247
LPR,"2021-12-15T00:00:00.000-0500",247
UniCenter,"2021-12-12T00:00:00.000-0500",247
bioScience,"2021-11-29T00:00:00.000-0500",247
CBY,"2021-11-25T00:00:00.000-0500",245
Marion,"2021-12-07T00:00:00.000-0500",245
Morriset,"2021-11-30T00:00:00.000-0500",245
MontPetit,"2021-12-07T00:00:00.000-0500",243
bioScience,"2022-02-07T00:00:00.000-0500",243
CRX,"2021-12-20T00:00:00.000-0500",242
DMS,"2021-12-14T00:00:00.000-0500",242
CAREG,"2021-11-30T00:00:00.000-0500",241
CBY,"2021-12-09T00:00:00.000-0500",241
FSS,"2022-01-24T00:00:00.000-0500",241
Morisset,"2022-01-24T00:00:00.000-0500",241
SITE,"2021-12-08T00:00:00.000-0500",241
STEM,"2022-01-28T00:00:00.000-0500",241
Marion,"2021-12-15T00:00:00.000-0500",239
SPX,"2021-11-20T00:00:00.000-0500",239
Vanier,"2021-11-17T00:00:00.000-0500",239
Vanier,"2022-02-07T00:00:00.000-0500",239
CBY,"2021-11-18T00:00:00.000-0500",238
SPX,"2021-11-23T00:00:00.000-0500",238
STEM,"2021-12-16T00:00:00.000-0500",238
Tabaret,"2021-11-25T00:00:00.000-0500",238
RGN,"2022-01-29T00:00:00.000-0500",237
Tabaret,"2021-12-03T00:00:00.000-0500",237
bioScience,"2021-11-19T00:00:00.000-0500",237
Fauteux,"2021-11-26T00:00:00.000-0500",236
STEM,"2022-01-20T00:00:00.000-0500",236
CBY,"2022-02-04T00:00:00.000-0500",235
"LEES BLOCK E","2021-11-16T00:00:00.000-0500",234
FSS,"2022-01-28T00:00:00.000-0500",233
FSS,"2022-02-11T00:00:00.000-0500",233
SPX,"2021-11-24T00:00:00.000-0500",233
Marion,"2021-12-06T00:00:00.000-0500",232
RGN,"2021-12-11T00:00:00.000-0500",232
STEM,"2022-01-21T00:00:00.000-0500",231
Vanier,"2021-11-24T00:00:00.000-0500",231
Vanier,"2022-02-10T00:00:00.000-0500",231
bioScience,"2022-01-25T00:00:00.000-0500",231
RGN,"2022-02-05T00:00:00.000-0500",230
bioScience,"2022-01-26T00:00:00.000-0500",230
ARC,"2021-11-24T00:00:00.000-0500",229
LMX,"2021-12-01T00:00:00.000-0500",229
RGN,"2021-12-12T00:00:00.000-0500",229
bioScience,"2021-11-23T00:00:00.000-0500",229
SPX,"2021-12-16T00:00:00.000-0500",228
STEM,"2021-12-10T00:00:00.000-0500",228
bioScience,"2021-12-02T00:00:00.000-0500",228
CBY,"2021-12-13T00:00:00.000-0500",226
LMX,"2021-11-19T00:00:00.000-0500",226
RGN,"2021-12-24T00:00:00.000-0500",226
bioScience,"2022-02-03T00:00:00.000-0500",226
Tabaret,"2021-12-02T00:00:00.000-0500",225
bioScience,"2021-11-18T00:00:00.000-0500",224
Diorio,"2022-02-02T00:00:00.000-0500",223
MontPetit,"2022-02-04T00:00:00.000-0500",223
SPX,"2021-11-26T00:00:00.000-0500",223
Tabaret,"2021-11-29T00:00:00.000-0500",223
bioScience,"2021-11-25T00:00:00.000-0500",223
ARC,"2021-11-23T00:00:00.000-0500",221
MontPetit,"2021-12-02T00:00:00.000-0500",221
SPX,"2021-11-17T00:00:00.000-0500",221
MontPetit,"2022-02-01T00:00:00.000-0500",220
Tabaret,"2022-02-07T00:00:00.000-0500",220
CRX,"2022-01-12T00:00:00.000-0500",219
LMX,"2022-02-07T00:00:00.000-0500",219
MontPetit,"2021-12-06T00:00:00.000-0500",219
SPX,"2022-02-02T00:00:00.000-0500",218
UniCenter,"2021-11-21T00:00:00.000-0500",218
CAREG,"2021-11-16T00:00:00.000-0500",217
Tabaret,"2021-12-08T00:00:00.000-0500",217
bioScience,"2022-01-20T00:00:00.000-0500",217
CBY,"2021-12-14T00:00:00.000-0500",216
SITE,"2022-02-01T00:00:00.000-0500",216
CAREG,"2021-12-01T00:00:00.000-0500",215
SPX,"2021-11-22T00:00:00.000-0500",215
SITE,"2022-02-11T00:00:00.000-0500",214
SPX,"2021-11-18T00:00:00.000-0500",214
Tabaret,"2021-11-26T00:00:00.000-0500",214
Vanier,"2021-12-02T00:00:00.000-0500",214
Morisset,"2022-01-31T00:00:00.000-0500",213
SPX,"2021-12-03T00:00:00.000-0500",213
